name,team,region,age,championships,agent1,agent2,agent3
ZmjjKK,EDward Gaming,China,,2,Jett,Raze,Chamber
Smoggy,EDward Gaming,China,,2,Raze,KAY/O,Sova
nobody,EDward Gaming,China,,2,Sova,Killjoy,Cypher
CHICHOO,EDward Gaming,China,,2,Viper,Omen,Astra
S1mon,EDward Gaming,China,,1,Killjoy,Cypher,Sage
Haodong,EDward Gaming,China,,1,Killjoy,Sova,Cypher
Life,FunPlus Phoenix,China,,0,Raze,Neon,Jett
whz,FunPlus Phoenix,China,,0,Jett,Raze,Sova
AAAA,FunPlus Phoenix,China,,0,Viper,Omen,Brimstone
Starry,FunPlus Phoenix,China,,0,Killjoy,Sova,Cypher
BerLIN,FunPlus Phoenix,China,,0,Sage,Skye,Killjoy
FengFeng,Trace Esports,China,,0,Jett,Raze,Neon
Bianca,Trace Esports,China,,0,Omen,Viper,Astra
Yosemite,Trace Esports,China,,0,Sova,KAY/O,Fade
MrCANI,Trace Esports,China,,0,Killjoy,Sage,Cypher
hfmi0,Trace Esports,China,,0,Raze,Reyna,Phoenix
whzy,Bilibili Gaming,China,,0,Raze,Jett,Neon
knight,Bilibili Gaming,China,,0,Omen,Viper,Astra
YHchen,Bilibili Gaming,China,,0,Sova,Fade,KAY/O
rin,Bilibili Gaming,China,,0,Killjoy,Sage,Cypher
SScary,Bilibili Gaming,China,,0,Raze,Chamber,Jett
Spiritz,Dragon Ranger Gaming,China,,0,Jett,Raze,Neon
vo0kashu,Dragon Ranger Gaming,China,,0,Omen,Astra,Viper
MarT1n,Dragon Ranger Gaming,China,,0,Killjoy,Cypher,Sage
Nvlgog,Dragon Ranger Gaming,China,,0,Sova,Fade,Skye
Tvirus,Dragon Ranger Gaming,China,,0,Raze,Jett,Chamber
Pleets,Wolves Esports,China,,0,Jett,Raze,Neon
Juicy,Wolves Esports,China,,0,Sova,KAY/O,Fade
Lf,Wolves Esports,China,,0,Omen,Viper,Astra
Stary,Wolves Esports,China,,0,Killjoy,Cypher,Sage
Sinner,Wolves Esports,China,,0,Raze,Jett,Chamber
TenZ,Sentinels,Americas,,2,Jett,Raze,Chamber
zekken,Sentinels,Americas,,1,Raze,Neon,Jett
johnqt,Sentinels,Americas,,1,Killjoy,Sova,Cypher
Sacy,Sentinels,Americas,,1,Sova,KAY/O,Skye
Zellsis,Sentinels,Americas,,1,Omen,Viper,Raze
dapr,Sentinels,Americas,,1,Cypher,Killjoy,Sova
Ethan,NRG Esports,Americas,,2,KAY/O,Skye,Sova
s0m,NRG Esports,Americas,,1,Jett,Raze,Neon
mada,NRG Esports,Americas,,1,Omen,Viper,Astra
brawk,NRG Esports,Americas,,1,Killjoy,Sova,Cypher
skuba,NRG Esports,Americas,,1,Raze,Jett,Chamber
jawgemo,NRG Esports,Americas,,1,Raze,Jett,Neon
Boostio,NRG Esports,Americas,,1,Killjoy,Sova,Cypher
C0M,NRG Esports,Americas,,1,Sova,Fade,KAY/O
Demon1,NRG Esports,Americas,,1,Jett,Raze,Chamber
aspas,LOUD,Americas,,1,Jett,Raze,Neon
Less,LOUD,Americas,,1,Killjoy,Cypher,Chamber
Saadhak,LOUD,Americas,,1,Sova,Fade,KAY/O
cauanzin,LOUD,Americas,,0,Raze,Jett,Neon
tuyz,LOUD,Americas,,0,Omen,Viper,Astra
pANcada,LOUD,Americas,,1,Viper,Omen,Astra
Mazino,Leviatán,Americas,,0,Raze,Jett,Reyna
kiNgg,Leviatán,Americas,,0,Omen,Viper,Astra
Melser,Leviatán,Americas,,0,Sova,Fade,KAY/O
Tacolilla,Leviatán,Americas,,0,Killjoy,Cypher,Chamber
OXY,Cloud9,Americas,,0,Jett,Raze,Neon
ShoT_UP,Cloud9,Americas,,0,Killjoy,Sova,Cypher
N4RRATE,Cloud9,Americas,,0,Omen,Viper,Astra
verno,Cloud9,Americas,,0,Raze,Jett,Neon
yay,Cloud9,Americas,,0,Chamber,Jett,Raze
trent,G2 Esports,Americas,,0,Sova,Fade,Skye
valyn,G2 Esports,Americas,,0,Omen,Brimstone,Viper
JonahP,G2 Esports,Americas,,0,Breach,KAY/O,Skye
icek,G2 Esports,Americas,,0,Killjoy,Cypher,Sage
frz,MIBR,Americas,,0,Jett,Raze,Neon
mazin,MIBR,Americas,,0,Omen,Viper,Astra
Art,MIBR,Americas,,0,Sova,Fade,KAY/O
nox,MIBR,Americas,,0,Killjoy,Cypher,Sage
Asuna,100 Thieves,Americas,,0,Jett,Raze,Reyna
Bang,100 Thieves,Americas,,0,Sova,KAY/O,Fade
Cryocells,100 Thieves,Americas,,0,Raze,Jett,Neon
stellar,100 Thieves,Americas,,0,Omen,Viper,Breach
Derrek,100 Thieves,Americas,,0,Killjoy,Cypher,Sage
Boaster,Fnatic,EMEA,,2,Sova,Fade,KAY/O
Derke,Fnatic,EMEA,,2,Jett,Raze,Neon
Alfajer,Fnatic,EMEA,,2,Killjoy,Cypher,Chamber
Leo,Fnatic,EMEA,,2,Omen,Viper,Astra
Chronicle,Fnatic,EMEA,,2,Raze,KAY/O,Skye
ANGE1,NAVI,EMEA,,0,Omen,Astra,Viper
Shao,NAVI,EMEA,,0,Sova,Fade,KAY/O
Zyppan,NAVI,EMEA,,0,Jett,Raze,Neon
SUYGETSU,NAVI,EMEA,,0,Killjoy,Cypher,Chamber
ardiis,NAVI,EMEA,,0,Jett,Chamber,Raze
Dps,NAVI,EMEA,,0,Killjoy,Sage,Cypher
Sayf,Team Vitality,EMEA,,0,Jett,Raze,Neon
Destrian,Team Vitality,EMEA,,0,Killjoy,Cypher,Sage
trexx,Team Vitality,EMEA,,0,Sova,Fade,KAY/O
Kicks,Team Vitality,EMEA,,0,Omen,Viper,Astra
ScreaM,Karmine Corp,EMEA,,0,Jett,Raze,Reyna
Enzo,Karmine Corp,EMEA,,0,Sova,Fade,KAY/O
xms,Karmine Corp,EMEA,,0,Killjoy,Cypher,Sage
tomaszy,Karmine Corp,EMEA,,0,Jett,Raze,Neon
marteen,Karmine Corp,EMEA,,0,Omen,Viper,Astra
cNed,FUT Esports,EMEA,,1,Jett,Raze,Chamber
qRaxs,FUT Esports,EMEA,,0,Sova,Fade,KAY/O
Mojj,FUT Esports,EMEA,,0,Omen,Viper,Astra
Fizzy,FUT Esports,EMEA,,0,Raze,Jett,Neon
yetujay,FUT Esports,EMEA,,0,Killjoy,Cypher,Sage
nAts,Gentle Mates,EMEA,,1,Viper,Sova,Cypher
